Dehnung;Dehnung in %;Kraft;Weg;Zeit;Key;Fläche
mm;%;N;mm;s;;
0,000167874;0,000839371;717,0934169;-0,000795249;12,1502;2674457,412;27,5874072
0,000250405;0,001252023;771,2232909;0,000590608;12,1669;2674457,429;
0,001096023;0,005480114;930,9395656;0,002656443;12,1836;2674457,446;
0,00169186;0,008459299;1186,856576;0,00538268;12,2002;2674457,462;
0,002972728;0,014863642;1448,067512;0,009572121;12,2169;2674457,479;
0,003896734;0,019483671;1724,457335;0,014354051;12,2336;2674457,496;
0,005253351;0,026266757;1985,394552;0,017690968;12,2502;2674457,512;
0,006338066;0,031690329;2268,728217;0,021594758;12,2669;2674457,529;
0,007306857;0,036534283;2525,043022;0,025251068;12,2836;2674457,546;
0,008503803;0,042519017;2784,891188;0,030398902;12,3002;2674457,562;
0,009537364;0,047686819;3033,388337;0,041595049;12,3169;2674457,579;
0,009377897;0,046889483;3000,246485;0,040087516;12,3336;2674457,596;
0,009853864;0,049269321;3138,678311;0,042683676;12,3502;2674457,612;
0,011670031;0,058350156;3487,433636;0,042164083;12,3669;2674457,629;
0,012258063;0,061290317;3632,138044;0,057270436;12,3836;2674457,646;
0,012315429;0,061577143;3545,499678;0,056130342;12,4002;2674457,662;
0,012795649;0,063978243;3679,174904;0,058553554;12,4169;2674457,679;
0,013457241;0,067286204;3870,414521;0,062111659;12,4336;2674457,696;
0,014171825;0,070859127;4087,573857;0,065565641;12,4502;2674457,712;
0,016054785;0,080273926;4385,83618;0,061252307;12,4669;2674457,729;
0,017997772;0,089988862;4837,758881;0,065944126;12,4836;2674457,746;
0,020068772;0,100343858;5267,360366;0,075046377;12,5002;2674457,762;
0,021753346;0,108766729;5533,41365;0,081279798;12,5169;2674457,779;
0,023034607;0,115173037;5737,271613;0,098074969;12,5336;2674457,796;
0,022860495;0,114302476;5647,065823;0,087849311;12,5502;2674457,812;
0,022500858;0,11250429;5640,562464;0,097276527;12,5669;2674457,829;
0,023390848;0,116954238;5720,821265;0,087960475;12,5836;2674457,846;
0,025628085;0,128140427;6274,252473;0,097463191;12,6002;2674457,862;
0,027412324;0,137061619;6555,22532;0,104460928;12,6169;2674457,879;
0,028295623;0,141478115;6765,348719;0,112512044;12,6336;2674457,896;
0,029509449;0,147547245;6904,871299;0,116928303;12,6502;2674457,912;
0,030110449;0,150552245;7035,316237;0,125264607;12,6669;2674457,929;
0,030452629;0,152263143;6994,067854;0,128746652;12,6836;2674457,946;
0,029969851;0,149849255;6951,644489;0,128033712;12,7002;2674457,962;
0,030973429;0,154867144;7041,85672;0,129953651;12,7169;2674457,979;
0,031635862;0,158179309;7277,100969;0,134126794;12,7336;2674457,996;
0,032414094;0,162070468;7406,717441;0,137151615;12,7502;2674458,012;
0,033274921;0,166374603;7571,916226;0,141019224;12,7669;2674458,029;
0,034419954;0,172099771;7730,235821;0,145040548;12,7836;2674458,046;
0,035285501;0,176427505;7883,883972;0,148903259;12,8002;2674458,062;
0,036377078;0,181885391;8058,14342;0,152671808;12,8169;2674458,079;
0,037612239;0,188061197;8198,617539;0,157255556;12,8336;2674458,096;
0,038160596;0,190802979;8364,796187;0,155914529;12,8502;2674458,112;
0,039523648;0,197618239;8547,81159;0,165330913;12,8669;2674458,129;
0,039986648;0,199933239;8676,567441;0,169005452;12,8836;2674458,146;
0,041303856;0,206519279;8808,942036;0,173115901;12,9002;2674458,162;
0,042301678;0,211508389;8970,727683;0,176648898;12,9169;2674458,179;
0,042962075;0,214810374;9101,016893;0,180598456;12,9336;2674458,196;
0,044579832;0,222899159;9397,014333;0,18666712;12,9502;2674458,212;
0,045577931;0,227889657;9419,000504;0,189898446;12,9669;2674458,229;
0,046054657;0,230273284;9517,887673;0,192069636;12,9836;2674458,246;
0,046808942;0,23404471;9654,871592;0,196168164;13,0002;2674458,262;
0,048023467;0,240117336;9801,557675;0,199852056;13,0169;2674458,279;
0,049385964;0,246929819;9951,484087;0,203626677;13,0336;2674458,296;
0,050131687;0,250658434;10088,95345;0,208219288;13,0502;2674458,312;
0,051403173;0,257015866;10220,06906;0,212353487;13,0669;2674458,329;
0,052347981;0,261739906;10360,65781;0,216065216;13,0836;2674458,346;
0,053164725;0,265823627;10500,66482;0,219634803;13,1002;2674458,362;
0,054346455;0,271732276;10619,4393;0,222888499;13,1169;2674458,379;
0,055425075;0,277125374;10765,40885;0,228371615;13,1336;2674458,396;
0,05657591;0,282879551;10885,57435;0,230944621;13,1502;2674458,412;
0,057658114;0,288290568;11090,37863;0,233279581;13,1669;2674458,429;
0,059332548;0,296662739;11228,32897;0,241235399;13,1836;2674458,446;
0,05980117;0,299005849;11305,60345;0,244245621;13,2002;2674458,462;
0,061230957;0,306154784;11531,3587;0,243129832;13,2169;2674458,479;
0,063646561;0,318232805;11797,33849;0,249185604;13,2336;2674458,496;
0,064679331;0,323396656;11847,1242;0,25550643;13,2502;2674458,512;
0,06584295;0,329214749;11974,94264;0,264200195;13,2669;2674458,529;
0,066042598;0,330212991;11948,30321;0,266322014;13,2836;2674458,546;
0,066883934;0,334419671;12128,82115;0,261942018;13,3002;2674458,562;
0,069372801;0,346864004;12446,33889;0,267462764;13,3169;2674458,579;
0,070845013;0,354225067;12525,37148;0,275126518;13,3336;2674458,596;
0,071679127;0,358395634;12627,70998;0,27871255;13,3502;2674458,612;
0,072504222;0,362521112;12676,09601;0,285700001;13,3669;2674458,629;
0,073172854;0,36586427;12739,0635;0,288688429;13,3836;2674458,646;
0,073784027;0,368920135;12816,05531;0,289957376;13,4002;2674458,662;
0,07550203;0,377510152;13047,23517;0,290686393;13,4169;2674458,679;
0,077957596;0,389787981;13271,76787;0,298356757;13,4336;2674458,696;
0,07810817;0,390540851;13175,6362;0,307981599;13,4502;2674458,712;
0,077843045;0,389215227;13146,04564;0,308615765;13,4669;2674458,729;
0,078957635;0,394788175;13194,44272;0,311050462;13,4836;2674458,746;
0,07941614;0,397080698;13294,84523;0,314154058;13,5002;2674458,762;
0,080501567;0,402507836;13413,14093;0,317913483;13,5169;2674458,779;
0,081575002;0,407875012;13540,48007;0,321424008;13,5336;2674458,796;
0,082749751;0,413748757;13664,72539;0,325187168;13,5502;2674458,812;
0,083500954;0,41750477;13778,35391;0,32963145;13,5669;2674458,829;
0,085406377;0,427031884;13865,49077;0,333575044;13,5836;2674458,846;
0,085984718;0,42992359;13984,91002;0,338219728;13,6002;2674458,862;
0,087707576;0,43853788;14075,04564;0,341335506;13,6169;2674458,879;
0,088698953;0,443494765;14183,86767;0,345651252;13,6336;2674458,896;
0,089723764;0,448618821;14266,03693;0,348974022;13,6502;2674458,912;
0,090998547;0,454992733;14374,68166;0,352354756;13,6669;2674458,929;
0,092691035;0,463455175;14463,08818;0,356760846;13,6836;2674458,946;
0,0932705;0,4663525;14550,7566;0,360866736;13,7002;2674458,962;
0,094825325;0,474126625;14644,98879;0,36405698;13,7169;2674458,979;
0,095941966;0,479709829;14732,84475;0,368467999;13,7336;2674458,996;
0,097234869;0,486174347;14827,55026;0,371812889;13,7502;2674459,012;
0,099310481;0,496552406;15016,31938;0,378549824;13,7669;2674459,029;
0,099995563;0,499977815;15021,3467;0,380710143;13,7836;2674459,046;
0,101082188;0,505410938;15080,7744;0,383880984;13,8002;2674459,062;
0,102301514;0,511507569;15210,95767;0,388229778;13,8169;2674459,079;
0,104328378;0,521641892;15288,68956;0,391347118;13,8336;2674459,096;
0,105226395;0,526131976;15377,93794;0,394482279;13,8502;2674459,112;
0,106932553;0,534662766;15467,15907;0,396885026;13,8669;2674459,129;
0,109267733;0,546338663;15732,27093;0,404036217;13,8836;2674459,146;
0,110560739;0,552803697;15643,21904;0,411527786;13,9002;2674459,162;
0,110889778;0,554448892;15629,48499;0,413453344;13,9169;2674459,179;
0,111830451;0,559152255;15697,08977;0,415160851;13,9336;2674459,196;
0,112742554;0,563712772;15782,63613;0,419178319;13,9502;2674459,212;
0,115158788;0,57579394;15963,68484;0,421789392;13,9669;2674459,229;
0,116313086;0,581565429;15998,48501;0,427318016;13,9836;2674459,246;
0,117448092;0,587240462;16023,34594;0,432223181;14,0002;2674459,262;
0,118942258;0,594711288;16105,35858;0,435996353;14,0169;2674459,279;
0,119774251;0,598871255;16125,80217;0,436725768;14,0336;2674459,296;
0,121075352;0,605376761;16214,43132;0,443068099;14,0502;2674459,312;
0,122861988;0,614309941;16298,89308;0,445178683;14,0669;2674459,329;
0,124662362;0,623311808;16372,82921;0,449208143;14,0836;2674459,346;
0,126162983;0,630814913;16421,59175;0,45520085;14,1002;2674459,362;
0,127430623;0,637153116;16433,33094;0,458801993;14,1169;2674459,379;
0,128606737;0,643033683;16480,60197;0,462684209;14,1336;2674459,396;
