Dehnung;Dehnung in %;Kraft;Weg;Zeit;Key;Fläche
mm;%;N;mm;s;;
-0,000393269;-0,001966345;541,6401391;-0,000492456;12,1546;2673120,649;27,06238598
0,000274609;0,001373044;594,4895447;0,000140931;12,1713;2673120,665;
0,000487624;0,002438122;752,7828545;0,002141666;12,188;2673120,682;
0,001534618;0,007673089;1026,608754;0,007345899;12,2046;2673120,699;
0,002171145;0,010855726;1212,454721;0,010408294;12,2213;2673120,715;
0,003819622;0,019098112;1465,801553;0,013321609;12,238;2673120,732;
0,00383711;0,019185548;1711,947584;0,017334164;12,2546;2673120,749;
0,005019411;0,025097054;2006,224731;0,022067442;12,2713;2673120,765;
0,006248528;0,031242638;2264,694339;0,025430559;12,288;2673120,782;
0,007858405;0,039292027;2545,816754;0,029424411;12,3046;2673120,799;
0,00844856;0,042242802;2815,801173;0,034083343;12,3213;2673120,815;
0,009721017;0,048605083;3069,685622;0,037446308;12,338;2673120,832;
0,01071983;0,053599151;3320,985285;0,041864884;12,3546;2673120,849;
0,011663904;0,05831952;3550,514115;0,046113551;12,3713;2673120,865;
0,012616679;0,063083397;3801,019934;0,049823729;12,388;2673120,882;
0,013600844;0,068004219;4024,242661;0,053434059;12,4046;2673120,899;
0,014400891;0,072004453;4271,066625;0,057647489;12,4213;2673120,915;
0,015711737;0,078558687;4468,109269;0,061800052;12,438;2673120,932;
0,016633271;0,083166356;4698,137963;0,065771707;12,4546;2673120,949;
0,017454842;0,087274211;4894,817232;0,069387134;12,4713;2673120,965;
0,018877786;0,094388931;5148,738582;0,069855045;12,488;2673120,982;
0,019807298;0,099036488;5386,533868;0,073711068;12,5046;2673120,999;
0,020936674;0,104683372;5559,351507;0,082907486;12,5213;2673121,015;
0,021649837;0,108249187;5710,77778;0,085791452;12,538;2673121,032;
0,022649819;0,113249093;5959,387718;0,091100849;12,5546;2673121,049;
0,023314537;0,116572686;6091,450113;0,090738438;12,5713;2673121,065;
0,025625673;0,128128363;6520,385906;0,100042267;12,588;2673121,082;
0,026052924;0,13026462;6598,208143;0,104583432;12,6046;2673121,099;
0,026316319;0,131581593;6673,685148;0,105476892;12,6213;2673121,115;
0,027122389;0,135611944;6827,46789;0,111023056;12,638;2673121,132;
0,027210312;0,136051559;6980,144866;0,11411192;12,6546;2673121,149;
0,028243373;0,141216863;7166,249697;0,117312146;12,6713;2673121,165;
0,02910794;0,1455397;7329,584594;0,121652062;12,688;2673121,182;
0,029806571;0,149032854;7539,919385;0,126328223;12,7046;2673121,199;
0,030678716;0,153393582;7676,427609;0,129648358;12,7213;2673121,215;
0,030845698;0,154228488;7854,793056;0,134276273;12,738;2673121,232;
0,031916047;0,159580235;8030,141371;0,130647987;12,7546;2673121,249;
0,03217927;0,160896352;8235,636564;0,142948165;12,7713;2673121,265;
0,020506355;0,102531773;8338,609757;0,145566327;12,788;2673121,282;
0,019545712;0,097728559;8486,329646;0,149283656;12,8046;2673121,299;
0,019152165;0,095760827;8710,971674;0,154061216;12,8213;2673121,315;
0,019298977;0,096494883;8937,771674;0,159501208;12,838;2673121,332;
0,014490851;0,072454255;9110,424002;0,164014589;12,8546;2673121,349;
-0,015219542;-0,076097712;9138,461052;0,166104874;12,8713;2673121,365;
-0,013240833;-0,066204167;9322,265886;0,17063556;12,888;2673121,382;
-0,012875536;-0,06437768;9410,087686;0,172797788;12,9046;2673121,399;
-0,012188845;-0,060944225;9569,560577;0,177319161;12,9213;2673121,415;
-0,010305558;-0,051527792;9818,563315;0,18265745;12,938;2673121,432;
-0,010343936;-0,051719681;9884,741173;0,184753091;12,9546;2673121,449;
-0,008920391;-0,044601957;10014,17256;0,189757191;12,9713;2673121,465;
-0,008400365;-0,042001823;10151,06272;0,192493463;12,988;2673121,482;
-0,00733121;-0,036656051;10286,59893;0,196375972;13,0046;2673121,499;
-0,006354564;-0,031772822;10429,38635;0,19980968;13,0213;2673121,515;
-0,00535786;-0,0267893;10578,27315;0,204033643;13,038;2673121,532;
-0,004461998;-0,022309989;10715,13106;0,207835424;13,0546;2673121,549;
-0,003107875;-0,015539377;10864,056;0,211894722;13,0713;2673121,565;
-0,002229924;-0,011149621;10980,27798;0,215638582;13,088;2673121,582;
-0,001117274;-0,005586372;11169,46661;0,220311315;13,1046;2673121,599;
0,000839785;0,004198925;11364,80303;0,213996372;13,1213;2673121,615;
0,001193459;0,005967295;11485,79242;0,230196291;13,138;2673121,632;
0,002509191;0,012545957;11529,52207;0,232531339;13,1546;2673121,649;
0,002990639;0,014953194;11655,58761;0,236195244;13,1713;2673121,665;
0,004253796;0,02126898;11801,40005;0,239503954;13,188;2673121,682;
0,004816729;0,024083644;11936,44338;0,242150532;13,2046;2673121,699;
0,006640152;0,033200758;12118,47432;0,248840329;13,2213;2673121,715;
0,007793213;0,038966067;12236,99341;0,252584607;13,238;2673121,732;
0,008767872;0,043839361;12319,50435;0,255527624;13,2546;2673121,749;
0,009133501;0,045667507;12431,60851;0,257196688;13,2713;2673121,765;
0,011734691;0,058673454;12728,94685;0,265650418;13,288;2673121,782;
0,011768132;0,058840661;12753,59407;0,26926126;13,3046;2673121,799;
0,012614034;0,063070168;12793,72044;0,271901217;13,3213;2673121,815;
0,013516207;0,067581037;12891,81236;0,275277853;13,338;2673121,832;
0,014063181;0,070315903;13028,02776;0,278209671;13,3546;2673121,849;
0,015151892;0,075759459;13135,39003;0,282001777;13,3713;2673121,865;
0,016246296;0,081231481;13271,97214;0,274478739;13,388;2673121,882;
0,01903175;0,095158748;13620,64679;0,283959722;13,4046;2673121,899;
0,020499303;0,102496514;13722,72914;0,300830933;13,4213;2673121,915;
0,020768348;0,10384174;13603,48959;0,300275521;13,438;2673121,932;
0,020903088;0,104515439;13686,81843;0,302346817;13,4546;2673121,949;
0,022110754;0,110553769;13898,20932;0,295204674;13,4713;2673121,965;
0,02460061;0,123003048;14174,63005;0,315060383;13,488;2673121,982;
0,024878822;0,124394111;14088,68044;0,315792952;13,5046;2673121,999;
0,025274728;0,126373642;14201,50776;0,319513101;13,5213;2673122,015;
0,026266947;0,131334733;14313,04368;0,323219509;13,538;2673122,032;
0,027260368;0,13630184;14401,74957;0,324307602;13,5546;2673122,049;
0,028321385;0,141606925;14553,15349;0,329247656;13,5713;2673122,065;
0,029877098;0,149385492;14730,67776;0,326325717;13,588;2673122,082;
0,032304915;0,161524575;14991,83497;0,334707097;13,6046;2673122,099;
0,034448895;0,172244474;15146,66816;0,33824541;13,6213;2673122,115;
0,036280869;0,181404346;15276,87416;0,344681832;13,638;2673122,132;
0,036345074;0,181725372;15176,66694;0,352365372;13,6546;2673122,149;
0,036114515;0,180572574;15011,27303;0,356748598;13,6713;2673122,165;
