Dehnung;Dehnung in %;Kraft;Weg;Zeit;Key;Fläche
mm;%;N;mm;s;;
-0,000360454;-0,001802269;499,3622067;-9,48362E-05;12,9426;2675860,752;27,46341901
-4,6487E-05;-0,000232435;527,3326364;-5,26138E-05;12,9593;2675860,769;
0,000401195;0,002005975;678,8319702;0,00283253;12,976;2675860,785;
0,002139357;0,010696783;1088,341797;0,008100661;12,9926;2675860,802;
0,002461789;0,012308945;1238,955818;0,010378321;13,0093;2675860,819;
0,003330181;0,016650903;1509,822245;0,014179733;13,026;2675860,835;
0,00471857;0,023592848;1734,472247;0,018445736;13,0426;2675860,852;
0,005371126;0,026855629;2006,633174;0,020929041;13,0593;2675860,869;
0,006385162;0,031925808;2266,342211;0,025184751;13,076;2675860,885;
0,008282469;0,041412343;2592,382797;0,030058692;13,0926;2675860,902;
0,009433836;0,047169178;2935,337924;0,035434021;13,1093;2675860,919;
0,010629921;0,053149604;3100,982848;0,037852746;13,126;2675860,935;
0,011828896;0,059144481;3354,273933;0,042790996;13,1426;2675860,952;
0,012805622;0,064028109;3550,346833;0,045628448;13,1593;2675860,969;
0,013876128;0,069380638;3749,938251;0,049589731;13,176;2675860,985;
0,015264063;0,076320314;3975,345118;0,039990876;13,1926;2675861,002;
0,016218162;0,08109081;4261,776595;0,058732764;13,2093;2675861,019;
0,017509708;0,087548541;4405,082966;0,061382974;13,226;2675861,035;
0,018517605;0,092588026;4616,578307;0,06612007;13,2426;2675861,052;
0,019590827;0,097954136;4805,573654;0,069395082;13,2593;2675861,069;
0,021769146;0,108845728;5287,863766;0,078109795;13,276;2675861,085;
0,022260556;0,11130278;5271,402106;0,080003402;13,2926;2675861,102;
0,023345756;0,116728782;5410,441027;0,08227536;13,3093;2675861,119;
0,023703255;0,118516274;5579,175605;0,085919308;13,326;2675861,135;
0,025068337;0,125341687;5818,624974;0,082122391;13,3426;2675861,152;
0,027517465;0,137587327;6252,174169;0,098748069;13,3593;2675861,169;
0,027578244;0,13789122;6240,309833;0,098809042;13,376;2675861,185;
0,028633053;0,143165265;6359,035125;0,101802677;13,3926;2675861,202;
0,029588877;0,147944386;6561,545338;0,105657218;13,4093;2675861,219;
0,030394242;0,151971211;6739,752609;0,096604656;13,426;2675861,235;
0,032409797;0,162048986;7089,477083;0,116642863;13,4426;2675861,252;
0,033270973;0,166354864;7164,637576;0,119106549;13,4593;2675861,269;
0,033743757;0,168718787;7298,631727;0,121835923;13,476;2675861,285;
0,035450887;0,177254435;7590,976013;0,127974226;13,4926;2675861,302;
0,03677397;0,183869848;7733,700808;0,132431291;13,5093;2675861,319;
0,037871709;0,189358544;7963,899217;0,133080408;13,526;2675861,335;
0,039465382;0,197326909;8019,138906;0,139039495;13,5426;2675861,352;
0,039339004;0,196695018;8143,68594;0,141877286;13,5593;2675861,369;
0,040581861;0,202909303;8264,236077;0,145596002;13,576;2675861,385;
0,04117705;0,205885249;8444,46325;0,149080802;13,5926;2675861,402;
0,042339593;0,211697963;8598,242237;0,153306134;13,6093;2675861,419;
0,043835123;0,219175615;8832,740899;0,148840941;13,626;2675861,435;
0,044994177;0,224970883;8985,355862;0,162303074;13,6426;2675861,452;
0,046202888;0,231014439;9101,187477;0,165286055;13,6593;2675861,469;
0,047145711;0,235728556;9251,607202;0,169399812;13,676;2675861,485;
0,048367984;0,241839921;9399,89348;0,172487672;13,6926;2675861,502;
0,048922699;0,244613495;9554,681938;0,176395591;13,7093;2675861,519;
0,050153237;0,250766185;9688,332109;0,180954934;13,726;2675861,535;
