Dehnung;Dehnung in %;Kraft;Weg;Zeit;Key;Fläche
mm;%;N;mm;s;;
0,000239197;0,001195985;243,9016715;-0,000583117;12,1835;2675100,008;27,37061112
0,000166821;0,000834106;281,912481;0,000118152;12,2002;2675100,025;
0,001118874;0,005594368;427,8399732;0,002840519;12,2169;2675100,042;
0,001746088;0,008730438;680,3112864;0,00576692;12,2335;2675100,058;
0,002817302;0,01408651;941,8095867;0,00946143;12,2502;2675100,075;
0,003912147;0,019560733;1227,146289;0,01313898;12,2669;2675100,092;
0,005222187;0,026110935;1476,647106;0,017328915;12,2835;2675100,108;
0,006045113;0,030225563;1762,678611;0,021965714;12,3002;2675100,125;
0,007255428;0,036277141;2009,487231;0,025590319;12,3169;2675100,142;
0,008358596;0,041792982;2269,661451;0,029093391;12,3335;2675100,158;
0,009337893;0,046689466;2510,757247;0,033517359;12,3502;2675100,175;
0,010310464;0,051552321;2754,707824;0,037596741;12,3669;2675100,192;
0,012023401;0,060117006;2989,337893;0,041161903;12,3835;2675100,208;
0,012607189;0,063035946;3222,459757;0,045728512;12,4002;2675100,225;
0,014006004;0,07003002;3464,14097;0,049326044;12,4169;2675100,242;
0,01549056;0,077452801;3675,016911;0,053691527;12,4335;2675100,258;
0,016413691;0,082068453;3901,363918;0,057834986;12,4502;2675100,275;
0,017080991;0,085404956;4097,743808;0,06179851;12,4669;2675100,292;
0,018136016;0,090680079;4330,787434;0,065351144;12,4835;2675100,308;
0,019093947;0,095469735;4510,946184;0,069298501;12,5002;2675100,325;
0,020245107;0,101225536;4719,756659;0,074057999;12,5169;2675100,342;
0,02103205;0,105160249;4894,065757;0,077736836;12,5335;2675100,358;
0,021918452;0,10959226;5109,898661;0,081436957;12,5502;2675100,375;
0,023068367;0,115341836;5288,214501;0,085211916;12,5669;2675100,392;
0,024069406;0,120347031;5470,850672;0,08954726;12,5835;2675100,408;
0,024935116;0,124675579;5649,350813;0,093800636;12,6002;2675100,425;
0,026027996;0,130139982;5839,989551;0,097685816;12,6169;2675100,442;
0,026751266;0,133756331;6015,253639;0,102052219;12,6335;2675100,458;
0,027609086;0,138045432;6183,909814;0,105337117;12,6502;2675100,475;
0,028608571;0,143042853;6363,746912;0,109574408;12,6669;2675100,492;
0,029181002;0,145905009;6537,723102;0,113015976;12,6835;2675100,508;
0,030337317;0,151686584;6725,819986;0,117505786;12,7002;2675100,525;
0,031418461;0,157092304;6884,965484;0,120758491;12,7169;2675100,542;
0,032497487;0,162487436;7065,954002;0,124736441;12,7335;2675100,558;
0,033059966;0,165299832;7230,167773;0,128761876;12,7502;2675100,575;
0,034424268;0,172121338;7414,903785;0,132622134;12,7669;2675100,592;
0,035556822;0,177784111;7549,337859;0,136581756;12,7835;2675100,608;
0,035944256;0,179721278;7722,308535;0,140573207;12,8002;2675100,625;
0,036949551;0,184747757;7876,467262;0,144970748;12,8169;2675100,642;
0,038162718;0,19081359;8059,593649;0,148450824;12,8335;2675100,658;
0,038976237;0,194881187;8195,306398;0,152895539;12,8502;2675100,675;
0,039743211;0,198716054;8355,644419;0,156357038;12,8669;2675100,692;
0,040750678;0,203753389;8505,308516;0,159820522;12,8835;2675100,708;
0,042032367;0,210161837;8671,335126;0,164189282;12,9002;2675100,725;
0,042980504;0,214902518;8828,641923;0,168828611;12,9169;2675100,742;
0,044068503;0,220342516;8972,727669;0,172272981;12,9335;2675100,758;
0,044918196;0,22459098;9119,681409;0,176245152;12,9502;2675100,775;
0,04601189;0,230059452;9270,451869;0,180493705;12,9669;2675100,792;
0,047113561;0,235567806;9416,800813;0,184534671;12,9835;2675100,808;
0,048077849;0,240389243;9548,184298;0,187836066;13,0002;2675100,825;
0,049359667;0,246798333;9710,26348;0,191730709;13,0169;2675100,842;
0,050351652;0,251758258;9844,696149;0,196042396;13,0335;2675100,858;
0,051424482;0,257122411;9997,185383;0,199841461;13,0502;2675100,875;
0,052471789;0,262358946;10112,88046;0,20404329;13,0669;2675100,892;
0,05393907;0,26969535;10255,08774;0,207679929;13,0835;2675100,908;
0,055113628;0,275568141;10382,11422;0,211429423;13,1002;2675100,925;
0,055805313;0,279026567;10541,02298;0,215840892;13,1169;2675100,942;
0,057059716;0,285298579;10655,95419;0,218761747;13,1335;2675100,958;
0,058055135;0,290275673;10800,45333;0,223416321;13,1502;2675100,975;
0,059495398;0,297476988;10926,33187;0,227423569;13,1669;2675100,992;
0,06063657;0,30318285;11066,14796;0,230932522;13,1835;2675101,008;
0,061682999;0,308414993;11195,27991;0,235189649;13,2002;2675101,025;
0,06301819;0,31509095;11322,05414;0,238879039;13,2169;2675101,042;
0,064065054;0,320325272;11448,69629;0,242721578;13,2335;2675101,058;
0,065339904;0,32669952;11573,8681;0,247222551;13,2502;2675101,075;
0,066614413;0,333072067;11703,64373;0,25047766;13,2669;2675101,092;
0,067664608;0,338323038;11823,62534;0,254925023;13,2835;2675101,108;
0,069222118;0,34611059;11951,40569;0,258830139;13,3002;2675101,125;
0,070156929;0,350784647;12064,59968;0,262645371;13,3169;2675101,142;
0,071704415;0,358522073;12201,72405;0,266126743;13,3335;2675101,158;
0,072642187;0,363210934;12304,48532;0,270894193;13,3502;2675101,175;
0,073837629;0,369188144;12429,70174;0,273687023;13,3669;2675101,192;
0,075130448;0,375652239;12528,73932;0,278072068;13,3835;2675101,208;
0,076065402;0,380327011;12668,70878;0,282502518;13,4002;2675101,225;
0,077660062;0,38830031;12772,95356;0,285833039;13,4169;2675101,242;
0,078762195;0,393810975;12888,72892;0,290726166;13,4335;2675101,258;
0,079850265;0,399251324;12985,99881;0,293617191;13,4502;2675101,275;
0,080839963;0,404199817;13109,31246;0,297564907;13,4669;2675101,292;
0,082395396;0,411976981;13218,66706;0,301380016;13,4835;2675101,308;
0,083428871;0,417144357;13319,67418;0,305000423;13,5002;2675101,325;
0,084608304;0,423041518;13427,21572;0,309554429;13,5169;2675101,342;
0,086297458;0,431487289;13533,76131;0,313133917;13,5335;2675101,358;
0,087613073;0,438065367;13650,37107;0,317531031;13,5502;2675101,375;
0,088676649;0,443383247;13737,2764;0,320767149;13,5669;2675101,392;
0,089946162;0,44973081;13851,26225;0,325200841;13,5835;2675101,408;
0,091320094;0,456600468;13953,73852;0,328879804;13,6002;2675101,425;
0,092492822;0,462464111;14069,91835;0,332838172;13,6169;2675101,442;
0,09414356;0,470717802;14143,53317;0,335751156;13,6335;2675101,458;
0,09480184;0,4740092;14251,11158;0,340568976;13,6502;2675101,475;
0,096437171;0,482185853;14343,40343;0,344667911;13,6669;2675101,492;
0,097396959;0,486984795;14455,59283;0,348307013;13,6835;2675101,508;
0,099284269;0,496421347;14533,13652;0,352213147;13,7002;2675101,525;
0,100069912;0,500349559;14632,84417;0,355730245;13,7169;2675101,542;
0,101157011;0,505785057;14719,34354;0,360464023;13,7335;2675101,558;
0,102640773;0,513203865;14821,29443;0,363589568;13,7502;2675101,575;
0,104071378;0,520356891;14912,38612;0,368189417;13,7669;2675101,592;
0,105403894;0,52701947;14986,49566;0,371838817;13,7835;2675101,608;
0,106504369;0,532521844;15080,86858;0,375474837;13,8002;2675101,625;
0,108243326;0,54121663;15166,35584;0,37971197;13,8169;2675101,642;
0,109441796;0,547208978;15261,67001;0,383636019;13,8335;2675101,658;
0,110782945;0,553914727;15324,46985;0,387203251;13,8502;2675101,675;
0,112051107;0,560255537;15421,4579;0,391822921;13,8669;2675101,692;
0,113670113;0,568350567;15492,12313;0,394905656;13,8835;2675101,708;
0,114990865;0,574954325;15588,23842;0,398946876;13,9002;2675101,725;
0,116266651;0,581333256;15648,38151;0,403092491;13,9169;2675101,742;
0,117655556;0,588277782;15726,82772;0,406547133;13,9335;2675101,758;
0,119214255;0,596071275;15793,19395;0,410333728;13,9502;2675101,775;
0,120505648;0,602528242;15873,52225;0,415007015;13,9669;2675101,792;
0,122290497;0,611452485;15936,74601;0,419036884;13,9835;2675101,808;
0,123379476;0,616897381;16004,68087;0,422190927;14,0002;2675101,825;
0,125297469;0,626487345;16076,62655;0,426219047;14,0169;2675101,842;
0,126727083;0,633635415;16143,42558;0,429724434;14,0335;2675101,858;
